cpa,interview_score,CV_score,num_projects,years_experience,KPI
2.5,2.96,2.0,7,13.48,0.3674
3.96,9.82,9.82,8,20.64,0.8507
2.93,4.46,1.91,1,3.69,0.2201
2.53,4.3,3.91,6,11.91,0.4856
3.92,5.56,4.29,5,7.29,0.4723
2.85,4.27,4.27,4,9.54,0.3906
2.82,5.25,3.7,2,7.11,0.4398
3.04,6.89,3.41,5,0.68,0.2964
2.03,3.19,3.14,6,19.08,0.3677
2.88,6.07,4.69,7,9.34,0.4576
3.11,7.81,3.24,5,17.32,0.4802
2.88,6.22,4.22,3,4.28,0.3499
2.6,3.24,3.16,10,18.74,0.4249
2.45,2.58,3.2,4,12.59,0.2269
3.24,5.52,4.86,2,3.83,0.3096
3.33,6.65,6.65,9,14.31,0.6154
2.83,4.36,2.67,3,8.83,0.4104
2.39,3.05,1.71,4,10.26,0.2806
2.73,4.57,3.53,7,16.86,0.4658
2.74,3.47,3.52,5,9.21,0.3423
3.46,8.63,5.72,5,15.83,0.6516
2.0,3.9,2.9,4,5.06,0.1532
3.14,6.01,4.14,9,19.81,0.6716
2.89,5.15,3.49,12,21.33,0.609
3.76,7.07,5.08,8,16.21,0.6526
3.05,6.82,5.26,4,7.71,0.4444
3.53,7.01,3.61,4,6.0,0.4393
2.35,3.35,1.82,7,20.23,0.3985
3.15,6.18,4.19,9,16.79,0.5065
2.6,3.89,2.45,4,7.91,0.2605
2.27,2.62,1.66,8,12.51,0.402
2.7,3.7,1.84,1,3.43,0.1582
3.51,8.5,3.55,5,8.17,0.589
2.8,3.97,3.12,4,7.26,0.2579
3.13,8.92,4.33,1,3.17,0.3913
2.7,5.41,2.42,2,7.04,0.1963
3.24,6.65,4.53,7,12.98,0.5682
3.27,6.51,5.29,6,14.89,0.5477
2.49,1.6,3.0,2,6.6,0.2185
2.29,1.56,0.0,2,2.81,0.0492
2.64,1.92,0.73,5,12.45,0.2281
2.35,3.03,3.14,3,4.25,0.3076
2.54,1.46,3.65,7,18.79,0.4045
2.55,4.34,2.59,3,8.46,0.3411
2.98,3.7,1.38,5,10.82,0.453
3.1,4.07,3.4,8,20.3,0.5445
3.37,6.24,3.42,3,2.61,0.3643
3.04,6.51,3.96,9,13.61,0.602
2.37,5.25,2.67,12,19.93,0.5112
2.45,3.96,2.03,9,20.84,0.38
3.29,7.41,4.24,8,20.49,0.6688
3.11,5.53,5.53,7,12.06,0.516
2.66,2.66,1.16,4,10.67,0.287
2.85,2.55,4.14,4,11.1,0.3186
2.73,5.4,4.03,8,16.62,0.4872
2.9,3.96,3.25,6,14.36,0.3153
2.39,1.96,1.96,0,0.0,0.0
2.75,5.15,2.55,4,12.23,0.421
3.8,7.87,6.1,2,8.9,0.506
3.35,6.29,2.52,2,1.82,0.4452
2.76,2.94,0.91,8,11.31,0.3539
3.1,3.43,2.1,4,0.53,0.309
2.7,4.74,3.15,3,5.93,0.4107
2.5,0.0,0.38,1,3.94,0.1153
3.81,8.18,3.72,9,14.27,0.7003
2.67,5.19,2.08,6,18.81,0.4707
3.39,4.64,2.48,7,18.69,0.5312
2.23,1.37,2.27,5,8.83,0.2023
2.95,5.3,3.94,4,9.47,0.3767
2.0,3.63,3.05,7,12.56,0.3478
2.58,3.46,0.24,2,5.2,0.1871
3.36,9.82,5.76,1,4.94,0.5047
2.45,1.83,1.36,2,6.55,0.1654
2.94,4.09,2.65,5,14.94,0.3843
2.94,3.69,0.46,5,14.82,0.3666
2.0,3.21,2.76,8,18.45,0.2924
2.4,1.66,2.01,3,11.02,0.2502
2.54,4.25,0.73,8,12.01,0.2
3.85,9.26,9.26,10,19.52,0.8203
2.25,1.26,1.26,0,0.0,0.0
3.54,5.52,4.27,2,0.27,0.3821
3.23,6.02,4.44,5,11.55,0.3898
3.13,5.67,5.67,8,12.34,0.534
2.7,5.77,1.92,2,4.2,0.2307
2.39,2.08,0.32,4,4.92,0.266
2.64,5.41,2.76,3,4.0,0.4092
3.5,8.08,5.06,5,18.52,0.5946
3.29,5.72,4.36,11,17.47,0.6608
2.32,1.78,3.51,5,9.73,0.193
3.0,4.72,3.45,9,15.13,0.4791
2.65,3.78,3.93,9,15.62,0.4537
3.31,7.29,4.13,1,5.49,0.2966
2.84,4.32,3.03,7,15.25,0.4053
3.51,7.7,3.95,3,3.52,0.489
3.39,4.9,3.45,3,3.54,0.4395
2.96,6.47,4.17,6,18.95,0.5785
3.24,5.96,5.11,2,6.09,0.3609
2.18,1.76,1.67,7,13.83,0.2435
2.64,1.88,1.75,10,20.67,0.3476
3.96,9.8,9.8,7,20.6,0.842
3.02,8.95,3.38,3,4.43,0.4657
3.5,8.76,5.45,8,12.37,0.5211
3.19,3.86,2.04,5,15.7,0.396
3.43,8.22,4.45,6,12.39,0.6312
