total_projects,total_tasks,hard_tasks,years_at_company,KPI
2,7,2,2.02,0.5998
1,3,0,0.1,0.621
1,14,0,0.19,0.8908
2,16,0,0.1,0.8671
1,5,0,0.37,0.5305
1,12,10,0.1,0.2663
1,3,0,0.1,0.4777
1,22,5,0.32,0.6986
1,47,47,0.88,0.58
1,4,1,1.57,0.5615
2,6,0,0.64,0.8814
1,10,8,0.1,0.5742
1,11,1,0.28,0.4479
1,12,11,0.31,0.2353
1,5,0,0.1,0.74
1,5,0,0.1,0.4554
1,4,1,0.58,0.9087
2,11,1,0.1,0.9211
2,3,3,6.59,0.5583
1,4,4,0.1,0.4
2,6,2,0.1,0.4167
4,92,90,6.63,0.4505
1,3,3,0.58,0.5143
1,18,10,0.34,0.5837
1,5,4,0.1,0.3991
1,3,0,0.1,0.6461
2,3,3,0.14,0.4878
1,10,7,0.1,0.295
1,16,2,0.14,0.8855
2,11,9,7.2,0.5004
1,11,11,0.39,0.3182
1,15,4,0.1,0.6404
1,7,4,1.71,0.4929
3,83,82,5.31,0.5993
1,3,1,0.1,0.6416
3,4,1,0.1,0.4782
1,4,3,0.42,0.4707
1,14,1,0.45,0.8661
1,3,0,0.1,0.6333
1,3,1,0.1,0.398
2,3,2,0.27,0.5955
2,6,0,3.34,0.9268
1,6,6,0.26,0.4207
3,3,2,3.09,0.5354
1,7,3,2.03,0.8022
2,4,4,1.08,0.428
1,8,4,2.81,0.4368
1,4,4,0.36,0.5002
1,44,21,0.79,0.6938
1,12,1,0.17,0.6119
1,6,4,0.78,0.6603
3,50,5,1.1,0.7348
2,18,14,4.77,0.5223
1,6,1,0.13,0.4584
1,3,2,1.05,0.5833
1,55,50,2.21,0.4756
3,5,2,0.98,0.8436
1,40,32,2.79,0.3375
2,5,0,0.1,0.855
1,24,24,1.55,0.5
1,14,1,0.25,0.6064
1,28,28,0.88,0.2518
2,7,4,3.09,0.4799
2,18,1,0.1,0.9128
2,9,8,1.16,0.55
1,6,5,0.5,0.5731
1,13,12,0.24,0.4823
1,3,2,0.45,0.477
3,7,4,0.1,0.4747
1,6,5,2.97,0.3929
4,9,4,2.93,0.8404
1,12,0,0.28,0.6636
2,8,1,2.26,0.6188
1,14,0,0.16,0.7857
1,3,0,0.1,0.8683
1,5,5,0.11,0.4899
1,9,2,3.44,0.7221
1,9,7,0.1,0.2
2,41,10,0.97,0.9105
1,5,0,0.1,0.8673
2,13,0,0.52,0.7535
1,31,31,2.7,0.5172
1,10,0,0.1,0.564
1,4,0,0.23,0.6478
1,4,1,0.42,0.6351
5,7,5,4.22,0.3487
1,3,2,0.16,0.7845
1,4,0,0.1,0.5
2,11,1,0.14,0.5001
2,4,1,0.14,0.2754
1,8,4,1.88,0.6302
2,35,1,0.1,0.8569
1,3,3,0.1,0.5374
2,21,0,0.1,0.9114
1,4,3,2.95,0.4522
1,3,0,0.1,0.8969
2,7,0,0.1,0.6756
1,6,5,0.1,0.6235
2,6,5,1.72,0.5267
1,86,61,0.69,0.51
2,4,2,1.07,0.3018
3,4,0,2.34,0.8166
1,3,2,2.06,0.8182
1,26,0,1.43,0.7059
2,9,2,3.45,0.8571
1,4,1,0.5,0.4854
1,12,11,5.94,0.3267
1,15,5,0.1,0.5003
1,5,0,0.1,0.9
2,11,11,0.1,0.5038
2,16,1,0.45,0.938
2,3,2,0.23,0.6117
1,7,1,0.1,0.9113
1,15,1,2.83,0.9266
1,11,6,2.06,0.5641
1,5,2,0.1,0.2281
2,3,2,0.64,0.328
1,14,8,0.1,0.5528
1,19,1,0.36,0.8737
1,5,5,0.34,0.5
2,11,1,0.1,0.4657
1,6,2,0.18,0.431
1,7,1,0.22,0.8643
1,7,1,0.1,0.9001
2,3,0,0.13,0.4408
1,4,4,6.84,0.55
3,3,1,1.91,0.4599
4,48,3,3.72,0.9305
1,4,2,0.38,0.561
2,3,0,0.1,0.879
1,8,2,0.13,0.5686
1,5,0,0.1,0.5426
2,5,5,0.2,0.4651
1,44,22,0.6,0.6145
2,5,4,0.1,0.3188
1,10,3,0.1,0.6376
1,3,3,0.1,0.1354
1,45,22,0.92,0.728
1,9,6,0.19,0.45
3,16,12,4.71,0.5121
1,9,7,0.41,0.4253
2,5,5,10.0,0.39
2,7,1,0.33,0.488
1,4,1,0.1,0.4375
1,5,0,0.1,0.6033
2,7,0,1.52,0.9342
1,3,2,1.52,0.0488
2,7,4,0.1,0.5783
3,13,11,1.49,0.4931
1,3,0,0.1,0.9
1,5,0,0.1,0.7265
1,3,2,0.14,0.5833
2,3,3,1.04,0.4559
1,5,4,1.34,0.4794
2,5,2,0.21,0.4609
1,3,0,0.16,0.4848
1,7,3,0.46,0.2325
1,6,0,0.1,0.5
2,29,4,0.11,0.8126
1,5,5,0.32,0.3847
3,8,2,0.1,0.1723
3,4,4,3.71,0.5037
2,11,5,0.46,0.6128
1,56,36,0.27,0.6425
2,26,23,1.55,0.3807
1,3,3,0.1,0.3075
2,3,3,0.1,0.4901
2,5,3,0.25,0.4016
1,29,20,4.03,0.5612
1,8,7,0.33,0.4544
1,7,4,0.1,0.3786
2,31,15,0.56,0.4466
1,5,0,0.11,0.6892
2,4,4,0.6,0.2983
1,4,3,0.32,0.2115
2,3,3,0.44,0.778
2,26,1,0.72,0.7096
2,14,9,5.24,0.4875
1,5,1,0.32,0.6688
1,7,6,0.21,0.1668
2,4,2,0.1,0.6476
1,5,0,0.42,0.82
1,14,1,0.1,0.8923
1,3,0,0.1,0.4483
1,5,1,0.1,0.5034
1,4,0,0.35,0.7514
1,31,31,0.57,0.3773
2,5,1,0.1,0.6214
1,3,3,0.1,0.1
1,8,0,0.1,0.6573
2,10,0,1.5,0.8253
3,8,7,2.51,0.5776
2,6,6,0.27,0.3337
3,3,3,2.46,0.4934
1,9,1,0.17,0.6953
2,21,4,4.68,0.9007
1,7,1,0.1,0.853
2,3,3,0.27,0.2771
2,3,3,0.1,0.2591
1,6,4,0.1,0.4916
1,5,3,0.11,0.4119
6,10,7,3.96,0.3763
2,24,4,3.34,0.8524
1,7,1,0.1,0.8371
1,4,1,0.16,0.5373
1,4,1,0.1,0.3093
3,9,9,6.09,0.3101
1,3,1,0.1,0.8905
2,22,22,1.64,0.5243
2,3,0,0.18,0.9351
1,3,3,0.24,0.5623
1,3,0,0.2,0.6257
2,4,0,0.18,0.9082
3,49,16,4.41,0.846
1,10,10,0.1,0.4996
1,6,6,0.1,0.1
5,63,48,1.72,0.4062
2,6,6,0.34,0.3667
1,7,7,2.07,0.3277
1,10,9,0.21,0.4262
2,3,3,0.18,0.5394
1,5,3,0.35,0.4976
3,8,3,0.22,0.7239
4,16,11,10.0,0.3928
3,3,0,0.62,0.8678
2,18,5,0.51,0.4656
1,5,4,0.1,0.1161
2,95,90,6.53,0.5439
1,14,5,0.37,0.4297
1,3,0,0.1,0.5711
1,5,3,0.1,0.6246
1,5,3,0.1,0.4457
2,4,2,0.34,0.8488
1,14,6,2.12,0.506
1,8,3,0.45,0.643
1,6,1,0.28,0.4538
2,6,6,0.32,0.3385
1,8,0,0.1,0.4949
1,3,0,0.15,0.8663
1,4,4,0.1,0.3
1,5,0,0.1,0.6738
1,5,1,0.1,0.5098
1,5,4,0.1,0.4528
2,5,1,3.38,0.6112
1,3,0,0.1,0.8767
1,3,3,3.04,0.37
3,13,3,3.26,0.7976
1,6,6,0.1,0.3161
2,3,1,0.15,0.714
1,6,4,0.44,0.4525
2,5,5,0.29,0.5294
2,3,1,0.14,0.5088
5,19,4,4.19,0.5883
1,20,8,0.38,0.78
1,12,11,0.34,0.3646
1,9,6,0.46,0.5067
2,7,4,0.34,0.4533
5,4,4,3.76,0.4869
1,7,6,0.41,0.4918
3,56,36,0.21,0.6006
1,9,4,0.1,0.3703
2,5,4,0.1,0.1989
1,15,2,0.33,0.8841
1,10,3,0.59,0.603
2,3,0,0.32,0.8451
1,3,0,0.1,0.9
4,30,5,2.38,0.9687
1,5,2,0.15,0.5128
1,14,14,0.34,0.5
2,7,5,5.05,0.4882
1,7,2,0.73,0.5716
3,9,0,2.03,0.5013
2,9,4,0.91,0.5048
1,3,0,0.18,0.6841
2,4,3,0.11,0.2851
1,15,0,0.1,0.9083
1,15,13,0.72,0.1869
1,10,0,0.1,0.8754
1,12,11,0.12,0.2517
2,3,2,0.28,0.3868
1,4,4,1.14,0.3718
1,5,4,0.5,0.4903
1,9,2,0.1,0.5492
1,22,8,0.39,0.7508
1,3,1,1.86,0.4395
2,3,1,0.22,0.9022
1,5,5,0.1,0.26
1,10,10,0.1,0.2605
1,7,7,0.64,0.5
1,12,11,0.58,0.499
1,3,2,1.81,0.51
1,23,1,0.32,0.8536
1,3,0,0.45,0.729
2,45,45,0.98,0.5517
3,8,2,0.68,0.9308
1,3,0,0.39,0.7211
2,8,6,0.37,0.2568
1,3,2,0.1,0.4023
1,10,10,0.22,0.34
2,7,7,4.36,0.5658
3,31,0,1.0,0.7865
1,10,1,0.22,0.8815
2,7,5,1.81,0.3023
3,6,6,6.76,0.5049
4,10,8,4.36,0.6023
1,3,3,0.11,0.5199
1,25,25,1.2,0.4963
1,6,0,0.1,0.5277
1,7,7,1.1,0.5
2,6,0,0.23,0.7475
2,6,4,1.82,0.3758
3,6,3,5.75,0.6951
2,3,3,0.1,0.4961
2,170,164,2.71,0.4822
1,7,4,1.35,0.5337
3,19,16,3.23,0.4854
2,3,3,1.55,0.5651
1,17,1,0.1,0.9152
3,10,5,2.34,0.4707
2,5,0,2.37,0.82
3,5,5,10.0,0.4853
2,3,0,0.39,0.7193
2,3,3,0.1,0.1
2,8,1,1.73,0.8863
1,3,1,0.1,0.9317
2,14,2,0.34,0.6173
2,11,4,0.35,0.4972
2,19,15,0.21,0.4536
1,7,0,0.1,0.9738
1,6,3,3.84,0.4286
1,3,1,0.3,0.6751
1,12,6,0.11,0.3106
1,5,4,1.19,0.5322
1,8,1,0.1,0.5965
1,5,4,2.96,0.3748
2,9,3,0.27,0.403
2,17,17,1.9,0.5624
1,6,1,0.15,0.4435
3,10,9,3.1,0.474
3,25,25,1.38,0.4519
1,50,8,4.88,1.0
1,4,0,0.28,0.771
1,4,4,0.11,0.2166
1,15,14,0.1,0.1697
1,3,3,0.1,0.5
3,3,0,0.9,0.8965
1,3,3,0.12,0.2915
1,100,96,9.14,0.4888
2,5,0,0.3,0.6943
2,12,10,0.57,0.3292
1,15,6,2.12,0.6348
2,28,28,0.61,0.3143
1,3,0,0.1,0.5
2,5,2,0.1,0.492
2,7,1,0.18,0.4505
2,28,27,0.93,0.3828
1,9,1,0.18,0.4161
1,5,1,0.17,0.8595
4,7,6,10.0,0.4513
1,11,0,0.12,0.8579
4,91,91,6.46,0.5129
1,3,0,0.1,0.5753
1,5,1,0.1,0.9322
3,8,6,4.39,0.5069
1,4,0,0.37,0.7091
1,3,3,0.16,0.4749
5,22,22,9.37,0.4292
2,7,3,0.25,0.1166
2,17,15,0.77,0.3176
1,13,7,2.07,0.6154
1,19,19,0.58,0.5384
1,14,0,0.1,0.9
2,15,1,0.65,0.8077
1,4,3,1.08,0.2625
1,13,3,0.24,0.4968
3,4,0,3.3,0.7932
1,4,3,0.3,0.5097
2,3,3,0.28,0.5708
6,22,22,9.18,0.5488
2,41,38,3.37,0.5276
2,6,1,0.43,0.7855
1,34,7,3.25,0.9558
1,5,0,0.1,0.9185
2,3,2,0.1,0.6719
4,5,1,3.67,0.6212
1,3,3,1.09,0.3748
1,17,9,0.1,0.5201
1,5,0,0.1,0.4491
1,13,2,0.47,0.6733
1,7,0,0.46,0.8429
1,10,1,0.31,0.8095
1,3,2,0.17,0.5235
2,4,4,0.81,0.359
3,10,9,2.34,0.4489
1,9,8,0.43,0.3658
1,7,2,0.16,0.4979
2,8,7,0.35,0.4654
2,7,6,0.19,0.1292
1,3,2,0.1,0.1833
2,3,2,0.1,0.5622
1,13,9,0.19,0.528
2,3,0,1.5,0.6821
2,3,2,0.1,0.1808
4,10,10,7.23,0.3927
1,3,1,0.1,0.9494
1,7,0,0.21,0.5747
4,18,4,4.21,0.6278
1,8,8,2.17,0.4851
1,5,4,0.77,0.55
1,5,2,0.1,0.8
1,3,3,1.47,0.4642
1,3,1,0.1,0.4151
2,16,0,0.1,0.871
1,37,15,1.04,0.6451
1,3,1,0.1,0.8114
1,99,99,3.88,0.45
2,32,0,0.98,0.7376
1,3,1,0.1,0.8982
1,4,2,0.1,0.6611
1,13,3,0.82,0.5962
1,10,0,0.1,0.5
3,56,5,0.77,0.7141
1,11,0,0.16,0.6455
2,4,0,0.1,0.8657
1,3,1,0.89,0.6609
3,58,6,1.24,0.6564
3,14,2,3.33,0.8035
2,65,51,0.88,0.5908
1,4,3,0.1,0.3274
2,6,1,0.26,0.449
1,3,3,0.21,0.0763
4,3,2,4.51,0.657
1,16,3,0.16,0.4072
2,6,0,0.1,0.8499
2,10,4,1.94,0.6001
2,10,1,0.2,0.755
1,4,4,0.1,0.2
6,128,103,7.28,0.7261
2,5,0,0.58,0.8361
1,21,0,0.1,0.8237
2,12,10,0.35,0.3401
1,7,4,0.1,0.3272
1,13,3,0.5,0.7691
2,5,5,1.11,0.5108
2,8,4,0.12,0.4439
2,3,1,0.1,0.2062
3,18,12,0.2,0.4161
1,7,7,0.23,0.4429
2,8,7,2.31,0.5318
1,9,9,0.72,0.4763
1,5,0,0.4,0.4417
2,52,50,6.93,0.6371
4,8,4,2.5,0.2741
2,11,2,0.34,0.5417
3,6,6,0.86,0.4842
1,9,4,0.15,0.5054
2,16,13,3.86,0.5285
1,8,7,0.36,0.284
2,24,2,1.1,0.7806
1,3,3,0.1,0.454
2,13,1,0.1,0.6225
3,52,50,6.83,0.6552
1,3,0,3.02,0.8608
1,3,1,0.26,0.1586
1,15,2,0.1,0.84
1,6,0,0.1,0.8584
3,12,3,4.73,0.7928
1,12,0,0.66,0.831
2,8,4,0.21,0.1638
1,8,0,0.28,0.6832
2,19,15,0.41,0.5411
2,6,6,0.2,0.3966
1,49,6,1.07,0.7704
1,16,0,0.25,0.8809
2,7,2,0.1,0.4857
2,4,4,1.75,0.482
1,5,2,0.63,0.7943
1,3,0,0.16,0.907
