project_key,team_size,planned_duration_days,total_tasks,remaining_hard_tasks,remaining_high_priority_tasks,elapsed_time_ratio,task_completion_ratio,overdue_tasks_count,avg_member_kpi,delay_risk_level
AGENT,14,182,84,10,10,0.6978021978021978,0.5952380952380952,0,0.6222527472527473,Low
AIPCC,1,1,1,0,0,0.0,0.0,0,0.5,Medium
APIMAN,3,3351,99,13,19,0.6997911071321994,0.7676767676767676,0,0.687037037037037,Low
APPAI,9,1337,100,4,2,0.6993268511593119,0.75,0,0.9224867724867725,Low
CALUNGA,8,41,59,1,0,0.6829268292682927,0.288135593220339,0,0.42708333333333337,Medium
CCO,6,304,96,4,4,0.6973684210526315,0.4583333333333333,0,0.6166666666666667,Low
CDI,5,2154,100,22,55,0.6996285979572887,0.35,0,0.788888888888889,Low
CEQ,11,289,95,1,21,0.698961937716263,0.7368421052631579,0,0.8688311688311688,Low
CERTPXPUB,3,378,58,6,4,0.6984126984126984,0.5344827586206896,0,0.47222222222222215,Low
CFE,13,876,100,0,0,0.6997716894977168,0.92,0,0.985079575596817,Low
CGW,1,528,35,2,5,0.6988636363636364,0.8,0,0.8235294117647058,High
CKI,9,37,64,9,9,0.6756756756756757,0.359375,0,0.5895061728395061,Medium
CLOUD,5,180,22,5,9,0.6944444444444444,0.5909090909090909,0,0.48571428571428577,High
CMCS,13,339,100,3,21,0.6991150442477876,0.75,0,0.7063492063492063,Low
CMP,8,68,100,10,26,0.6911764705882353,0.2,0,0.35677083333333337,Low
CMTOOL,4,1983,77,2,7,0.6999495713565305,0.9090909090909091,0,0.9589512711864407,Low
CNTRLPLANE,23,46,100,0,1,0.6956521739130435,0.14,0,0.15631469979296064,Low
CNV,24,31,100,21,16,0.6774193548387096,0.08,0,0.125,Low
CONNLINK,17,106,100,10,24,0.6981132075471698,0.14,0,0.31484593837535013,Low
CORENET,16,73,100,7,11,0.6986301369863014,0.16,0,0.19583333333333336,Low
CORS,9,114,83,4,4,0.6929824561403509,0.1566265060240964,0,0.35462962962962963,Low
COST,9,374,49,3,5,0.6978609625668449,0.32653061224489793,0,0.28425925925925927,Low
COS,13,41,100,2,3,0.6829268292682927,0.49,0,0.07692307692307693,Low
CPE,11,101,100,0,0,0.693069306930693,0.61,0,0.5428014967488651,Low
CRW,18,73,100,16,45,0.6986301369863014,0.51,0,0.46574074074074073,Low
DOGTAG,13,1141,84,18,6,0.6993865030674846,0.7857142857142857,0,0.7384615384615384,Low
DROOLS,7,1011,98,17,32,0.6993076162215628,0.6428571428571429,0,0.6595139095139094,Low
EAPDOC,11,287,45,2,31,0.6968641114982579,0.26666666666666666,0,0.501010101010101,Low
ELN,1,101,99,14,0,0.693069306930693,0.4444444444444444,0,1.0,Low
ELYMP,2,1757,9,0,1,0.6994877632327832,0.8888888888888888,0,0.9166666666666667,Low
ELY,12,283,83,9,20,0.6996466431095406,0.7590361445783133,0,0.7069790559902122,Low
ENTESB,17,805,99,1,1,0.6993788819875777,0.98989898989899,0,1.0,Low
ENTMQBR,12,118,92,18,9,0.6949152542372882,0.40217391304347827,0,0.2902777777777778,Low
ENTMQCL,14,1776,92,10,17,0.6998873873873874,0.5434782608695652,0,0.6993537414965986,Low
ENTMQIC,1,2138,2,0,2,0.6997193638914874,0.0,0,0.0,High
ENTMQMAAS,7,393,46,6,10,0.6997455470737913,0.782608695652174,0,0.6666666666666666,High
ENTMQST,12,431,73,5,3,0.6983758700696056,0.5068493150684932,0,0.27731481481481485,Low
ESO,6,626,53,0,1,0.6996805111821086,0.41509433962264153,0,0.6366402116402116,Low
ETCD,10,728,99,1,8,0.6991758241758241,0.7474747474747475,0,0.7585548172757475,Low
FAKELEAKS,1,660,4,0,0,0.6984848484848485,0.0,0,0.5,Low
FRCL,12,232,42,1,0,0.6982758620689655,0.5238095238095238,0,0.3333333333333333,Low
HCCDDF,16,1206,92,0,0,0.6998341625207297,1.0,0,1.0,Low
HCIDOCS,2,330,89,12,3,0.696969696969697,0.7303370786516854,0,0.8128654970760234,Low
HIVE,6,233,83,4,4,0.6995708154506438,0.5542168674698795,0,0.7020757020757019,Low
HMSIDM,4,122,17,0,0,0.6967213114754098,0.4117647058823529,0,0.325,High
HPSTRAT,24,2025,67,7,14,0.6997530864197531,0.5671641791044776,0,0.44275793650793654,Low
JBCS,10,621,52,9,7,0.6988727858293076,0.5769230769230769,0,0.66991341991342,Low
